loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_asset_value,asset_to_loan_ratio,risk_category,is_low_income
1,2, Graduate, No,9600000,29900000,12,778,2400000,17600000,22700000,8000000, Approved,50700000,1.6956521739130435,High,0
2,0, Not Graduate, Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000, Rejected,17000000,1.3934426229508197,Low,0
3,3, Graduate, No,9100000,29700000,20,506,7100000,4500000,33300000,12800000, Rejected,57700000,1.9427609427609427,Low,0
4,3, Graduate, No,8200000,30700000,8,467,18200000,3300000,23300000,7900000, Rejected,52700000,1.716612377850163,Low,0
5,5, Not Graduate, Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000, Rejected,55000000,2.272727272727273,Low,0
6,0, Graduate, Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000, Rejected,33900000,2.511111111111111,Low,0
7,5, Graduate, No,8700000,33000000,4,678,22500000,14800000,29200000,4300000, Approved,70800000,2.1454545454545455,Medium,0
8,2, Graduate, Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000, Rejected,36700000,2.4466666666666668,Low,0
9,0, Graduate, Yes,800000,2200000,20,782,1300000,800000,2800000,600000, Approved,5500000,2.5,High,0
10,5, Not Graduate, No,1100000,4300000,10,388,3200000,1400000,3300000,1600000, Rejected,9500000,2.2093023255813953,Low,0
11,4, Graduate, Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000, Approved,25400000,2.267857142857143,Low,0
12,2, Not Graduate, Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000, Rejected,47900000,2.1101321585903086,Low,0
13,3, Not Graduate, Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000, Rejected,34900000,3.0086206896551726,Low,0
14,2, Graduate, Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000, Approved,53300000,1.692063492063492,Medium,0
15,1, Not Graduate, No,1900000,7400000,6,469,1900000,1200000,5900000,1900000, Rejected,10900000,1.472972972972973,Low,0
16,5, Not Graduate, No,4700000,10700000,10,794,5700000,3900000,16400000,4400000, Approved,30400000,2.8411214953271027,High,0
17,2, Graduate, Yes,500000,1600000,4,663,1300000,100000,1300000,700000, Approved,3400000,2.125,Medium,0
18,4, Not Graduate, Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000, Approved,16700000,1.7765957446808511,High,0
19,2, Graduate, No,2700000,10300000,10,736,1000000,0,6200000,3300000, Approved,10500000,1.0194174757281553,Medium,0
20,5, Graduate, No,6300000,14600000,12,652,10300000,3500000,23500000,5900000, Approved,43200000,2.958904109589041,Medium,0
21,2, Graduate, No,5000000,19400000,12,315,9500000,1600000,18000000,6100000, Rejected,35200000,1.8144329896907216,Low,0
22,4, Graduate, No,5800000,14000000,16,530,3800000,11300000,22200000,5400000, Rejected,42700000,3.05,Low,0
23,4, Graduate, Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000, Rejected,42800000,1.6653696498054475,Low,0
24,0, Not Graduate, Yes,500000,1400000,2,551,900000,600000,1100000,300000, Approved,2900000,2.0714285714285716,Low,0
25,0, Not Graduate, No,4900000,9800000,16,324,3800000,8700000,10000000,3300000, Rejected,25800000,2.63265306122449,Low,0
