loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,loan_term_years,cibil_score,risk_category,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,total_assets_value,debt_to_income_ratio,asset_to_loan_ratio,has_dependents,is_low_income,loan_status,loan_status_code
1,2," Graduate"," No",9600000,29900000,12,1.0000,778,High,2400000,17600000,22700000,8000000,50700000,3.11458,1.69565,1,0," Approved",1
2,0," Not Graduate"," Yes",4100000,12200000,8,0.6667,417,Low,2700000,2200000,8800000,3300000,17000000,2.97561,1.39344,0,0," Rejected",0
3,3," Graduate"," No",9100000,29700000,20,1.6667,506,Low,7100000,4500000,33300000,12800000,57700000,3.26374,1.94276,1,0," Rejected",0
4,3," Graduate"," No",8200000,30700000,8,0.6667,467,Low,18200000,3300000,23300000,7900000,52700000,3.74390,1.71661,1,0," Rejected",0
5,5," Not Graduate"," Yes",9800000,24200000,20,1.6667,382,Low,12400000,8200000,29400000,5000000,55000000,2.46939,2.27273,1,0," Rejected",0
6,0," Graduate"," Yes",4800000,13500000,10,0.8333,319,Low,6800000,8300000,13700000,5100000,33900000,2.81250,2.51111,0,0," Rejected",0
7,5," Graduate"," No",8700000,33000000,4,0.3333,678,Medium,22500000,14800000,29200000,4300000,70800000,3.79310,2.14545,1,0," Approved",1
8,2," Graduate"," Yes",5700000,15000000,20,1.6667,382,Low,13200000,5700000,11800000,6000000,36700000,2.63158,2.44667,1,0," Rejected",0
9,0," Graduate"," Yes",800000,2200000,20,1.6667,782,High,1300000,800000,2800000,600000,5500000,2.75000,2.50000,0,0," Approved",1
10,5," Not Graduate"," No",1100000,4300000,10,0.8333,388,Low,3200000,1400000,3300000,1600000,9500000,3.90909,2.20930,1,0," Rejected",0
11,4," Graduate"," Yes",2900000,11200000,2,0.1667,547,Low,8100000,4700000,9500000,3100000,25400000,3.86207,2.26786,1,0," Approved",1
12,2," Not Graduate"," Yes",6700000,22700000,18,1.5000,538,Low,15300000,5800000,20400000,6400000,47900000,3.38806,2.11013,1,0," Rejected",0
13,3," Not Graduate"," Yes",5000000,11600000,16,1.3333,311,Low,6400000,9600000,14600000,4300000,34900000,2.32000,3.00862,1,0," Rejected",0
14,2," Graduate"," Yes",9100000,31500000,14,1.1667,679,Medium,10800000,16600000,20900000,5000000,53300000,3.46154,1.69206,1,0," Approved",1
15,1," Not Graduate"," No",1900000,7400000,6,0.5000,469,Low,1900000,1200000,5900000,1900000,10900000,3.89474,1.47297,1,0," Rejected",0
16,5," Not Graduate"," No",4700000,10700000,10,0.8333,794,High,5700000,3900000,16400000,4400000,30400000,2.27660,2.84112,1,0," Approved",1
17,2," Graduate"," Yes",500000,1600000,4,0.3333,663,Medium,1300000,100000,1300000,700000,3400000,3.20000,2.12500,1,0," Approved",1
18,4," Not Graduate"," Yes",2900000,9400000,14,1.1667,780,High,2900000,2800000,6700000,4300000,16700000,3.24138,1.77660,1,0," Approved",1
19,2," Graduate"," No",2700000,10300000,10,0.8333,736,Medium,1000000,0,6200000,3300000,10500000,3.81481,1.01942,1,0," Approved",1
20,5," Graduate"," No",6300000,14600000,12,1.0000,652,Medium,10300000,3500000,23500000,5900000,43200000,2.31746,2.95890,1,0," Approved",1
21,2," Graduate"," No",5000000,19400000,12,1.0000,315,Low,9500000,1600000,18000000,6100000,35200000,3.88000,1.81443,1,0," Rejected",0
22,4," Graduate"," No",5800000,14000000,16,1.3333,530,Low,3800000,11300000,22200000,5400000,42700000,2.41379,3.05000,1,0," Rejected",0
23,4," Graduate"," Yes",6500000,25700000,18,1.5000,311,Low,13100000,1700000,19500000,8500000,42800000,3.95385,1.66537,1,0," Rejected",0
24,0," Not Graduate"," Yes",500000,1400000,2,0.1667,551,Low,900000,600000,1100000,300000,2900000,2.80000,2.07143,0,0," Approved",1
25,0," Not Graduate"," No",4900000,9800000,16,1.3333,324,Low,3800000,8700000,10000000,3300000,25800000,2.00000,2.63265,0,0," Rejected",0
26,5," Not Graduate"," No",3100000,9500000,20,1.6667,514,Low,7900000,3100000,6600000,2600000,20200000,3.06452,2.12632,1,0," Rejected",0
27,4," Graduate"," No",8200000,28100000,12,1.0000,696,Medium,11500000,10600000,25300000,7200000,54600000,3.42683,1.94306,1,0," Approved",1
28,4," Not Graduate"," Yes",2400000,5600000,4,0.3333,662,Medium,4500000,4200000,5400000,2500000,16600000,2.33333,2.96429,1,0," Approved",1
29,5," Not Graduate"," Yes",7000000,24000000,6,0.5000,336,Low,2300000,11900000,27500000,9700000,51400000,3.42857,2.14167,1,0," Rejected",0
30,3," Not Graduate"," Yes",9000000,31500000,10,0.8333,850,High,21800000,12400000,33700000,8000000,75900000,3.50000,2.40952,1,0," Approved",1
31,2," Not Graduate"," No",9800000,25300000,12,1.0000,313,Low,20200000,5200000,25500000,9300000,60200000,2.58163,2.37945,1,0," Rejected",0
32,2," Graduate"," No",5700000,12000000,6,0.5000,363,Low,3600000,7400000,21700000,4300000,37000000,2.10526,3.08333,1,0," Rejected",0
33,1," Not Graduate"," Yes",800000,1600000,10,0.8333,436,Low,700000,200000,2200000,1000000,4100000,2.00000,2.56250,1,0," Rejected",0
34,5," Not Graduate"," Yes",8400000,22000000,2,0.1667,830,High,3800000,3900000,19900000,5400000,33000000,2.61905,1.50000,1,0," Approved",1
35,3," Graduate"," No",4900000,11900000,8,0.6667,612,Medium,9700000,1200000,19000000,5800000,35700000,2.42857,3.00000,1,0," Approved",1
36,2," Graduate"," Yes",1700000,3400000,8,0.6667,691,Medium,2700000,2800000,6000000,900000,12400000,2.00000,3.64706,1,0," Approved",1
37,3," Not Graduate"," No",1600000,6200000,18,1.5000,636,Medium,3400000,700000,5300000,1400000,10800000,3.87500,1.74194,1,0," Approved",1
38,5," Graduate"," Yes",8000000,27200000,6,0.5000,348,Low,6400000,300000,16700000,7100000,30500000,3.40000,1.12132,1,0," Rejected",0
39,5," Graduate"," No",3600000,7700000,16,1.3333,830,High,7000000,1300000,10000000,2900000,21200000,2.13889,2.75325,1,0," Approved",1
40,3," Not Graduate"," Yes",1500000,5100000,6,0.5000,352,Low,100000,200000,5600000,900000,6800000,3.40000,1.33333,1,0," Rejected",0
41,1," Graduate"," No",7800000,18100000,2,0.1667,712,Medium,8600000,11200000,21700000,9000000,50500000,2.32051,2.79006,1,0," Approved",1
42,2," Not Graduate"," No",9100000,24900000,16,1.3333,822,High,22300000,12100000,31000000,5200000,70600000,2.73626,2.83534,1,0," Approved",1
43,3," Graduate"," No",1400000,3400000,6,0.5000,540,Low,200000,1500000,3900000,800000,6400000,2.42857,1.88235,1,0," Rejected",0
44,2," Graduate"," Yes",800000,2300000,12,1.0000,342,Low,2200000,1300000,1800000,800000,6100000,2.87500,2.65217,1,0," Rejected",0
45,5," Graduate"," No",6500000,13400000,18,1.5000,787,High,18200000,300000,16200000,5400000,40100000,2.06154,2.99254,1,0," Approved",1
46,4," Graduate"," No",8000000,27800000,16,1.3333,331,Low,13000000,6300000,21400000,10900000,51600000,3.47500,1.85612,1,0," Rejected",0
47,3," Not Graduate"," Yes",4200000,14600000,6,0.5000,679,Medium,2400000,6900000,8700000,4900000,22900000,3.47619,1.56849,1,0," Approved",1
48,1," Graduate"," Yes",4900000,19100000,14,1.1667,677,Medium,5400000,9100000,17700000,6500000,38700000,3.89796,2.02618,1,0," Approved",1
49,3," Not Graduate"," No",5500000,20500000,12,1.0000,634,Medium,800000,8600000,18500000,8200000,36100000,3.72727,1.76098,1,0," Approved",1
50,1," Not Graduate"," Yes",9500000,19100000,16,1.3333,662,Medium,100000,10500000,37700000,11700000,60000000,2.01053,3.14136,1,0," Approved",1
51,4," Graduate"," No",7300000,25400000,16,1.3333,502,Low,500000,1800000,20500000,10500000,33300000,3.47945,1.31102,1,0," Rejected",0
52,2," Graduate"," No",8700000,24700000,10,0.8333,435,Low,6800000,3500000,21800000,11300000,43400000,2.83908,1.75709,1,0," Rejected",0
53,5," Not Graduate"," No",3800000,7600000,4,0.3333,689,Medium,8700000,100000,9300000,3400000,21500000,2.00000,2.82895,1,0," Approved",1
54,1," Not Graduate"," Yes",8400000,23000000,12,1.0000,657,Medium,15400000,14800000,31900000,8200000,70300000,2.73810,3.05652,1,0," Approved",1
55,2," Graduate"," Yes",5100000,19700000,20,1.6667,590,Low,7400000,9300000,19400000,3400000,39500000,3.86275,2.00508,1,0," Approved",1
56,5," Not Graduate"," No",6700000,24500000,12,1.0000,818,High,1200000,5600000,16300000,6200000,29300000,3.65672,1.19592,1,0," Approved",1
57,2," Not Graduate"," No",4300000,10600000,18,1.5000,431,Low,2100000,1500000,9300000,5200000,18100000,2.46512,1.70755,1,0," Rejected",0
58,5," Graduate"," Yes",9300000,30500000,18,1.5000,841,High,19300000,10300000,34600000,8700000,72900000,3.27957,2.39016,1,0," Approved",1
59,1," Graduate"," No",7400000,18400000,20,1.6667,421,Low,18500000,9100000,17500000,4100000,49200000,2.48649,2.67391,1,0," Rejected",0
60,4," Not Graduate"," Yes",5500000,18200000,16,1.3333,797,High,-100000,4900000,18600000,4800000,28200000,3.30909,1.54945,1,0," Approved",1
61,2," Not Graduate"," No",8500000,18900000,18,1.5000,478,Low,23800000,16300000,25900000,11400000,77400000,2.22353,4.09524,1,0," Rejected",0
62,3," Not Graduate"," Yes",9600000,30500000,18,1.5000,669,Medium,4700000,1900000,26500000,9300000,42400000,3.17708,1.39016,1,0," Approved",1
63,5," Not Graduate"," Yes",8800000,28900000,6,0.5000,365,Low,24400000,8600000,27400000,4700000,65100000,3.28409,2.25260,1,0," Rejected",0
64,3," Not Graduate"," Yes",3300000,7500000,20,1.6667,586,Low,1600000,5600000,10500000,2900000,20600000,2.27273,2.74667,1,0," Approved",1
65,4," Graduate"," Yes",3900000,12300000,18,1.5000,784,High,7600000,6900000,13100000,2800000,30400000,3.15385,2.47154,1,0," Approved",1
66,1," Graduate"," No",4100000,10300000,12,1.0000,364,Low,9500000,6100000,14900000,2800000,33300000,2.51220,3.23301,1,0," Rejected",0
67,3," Not Graduate"," No",8300000,29100000,10,0.8333,715,Medium,6100000,11900000,24100000,11900000,54000000,3.50602,1.85567,1,0," Approved",1
68,0," Not Graduate"," Yes",2700000,10100000,20,1.6667,693,Medium,200000,1700000,5900000,1400000,9200000,3.74074,0.91089,0,0," Rejected",0
69,4," Graduate"," No",5600000,12400000,4,0.3333,777,High,5500000,3100000,11800000,5500000,25900000,2.21429,2.08871,1,0," Approved",1
70,0," Graduate"," No",1900000,5000000,12,1.0000,312,Low,4000000,2800000,4900000,2400000,14100000,2.63158,2.82000,0,0," Rejected",0
71,4," Not Graduate"," Yes",500000,1500000,20,1.6667,340,Low,100000,200000,1900000,600000,2800000,3.00000,1.86667,1,0," Rejected",0
72,5," Graduate"," Yes",5300000,18600000,4,0.3333,386,Low,2700000,9700000,11900000,4200000,28500000,3.50943,1.53226,1,0," Approved",1
73,5," Not Graduate"," No",7000000,18300000,4,0.3333,418,Low,18400000,11700000,21500000,7600000,59200000,2.61429,3.23497,1,0," Rejected",0
74,3," Not Graduate"," Yes",5800000,16700000,16,1.3333,735,Medium,3900000,9400000,12600000,5600000,31500000,2.87931,1.88623,1,0," Approved",1
75,2," Not Graduate"," No",2600000,8400000,6,0.5000,494,Low,6500000,3800000,5600000,2000000,17900000,3.23077,2.13095,1,0," Rejected",0
76,2," Not Graduate"," No",1900000,6500000,18,1.5000,671,Medium,600000,2500000,4800000,1100000,9000000,3.42105,1.38462,1,0," Approved",1
77,4," Graduate"," No",5700000,14800000,16,1.3333,697,Medium,14300000,7800000,12900000,6300000,41300000,2.59649,2.79054,1,0," Approved",1
78,0," Graduate"," No",9000000,33500000,8,0.6667,801,High,11600000,8900000,35400000,11100000,67000000,3.72222,2.00000,0,0," Approved",1
79,2," Not Graduate"," No",8500000,29400000,12,1.0000,576,Low,17600000,5600000,25200000,9000000,57400000,3.45882,1.95238,1,0," Approved",1
80,0," Not Graduate"," No",700000,1400000,14,1.1667,639,Medium,1900000,700000,2400000,900000,5900000,2.00000,4.21429,0,0," Approved",1
81,4," Graduate"," No",3500000,8900000,4,0.3333,470,Low,1300000,2200000,12300000,2000000,17800000,2.54286,2.00000,1,0," Rejected",0
